City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
Vardø,NO,70.3705,31.1107,15.8,79,75,5.75,1613084534
Kanel,SN,15.4916,-13.1763,82.4,24,0,2.3,1613084820
Russell,US,32.3502,-85.1999,66.2,94,90,2.39,1613084820
Kapuskasing,CA,49.4169,-82.4331,-4.0,45,100,4.61,1613084752
Puerto Nariño,CO,-3.7703,-70.3831,80.6,89,75,13.8,1613084820
Kalmunai,LK,7.4167,81.8167,71.35,81,96,8.46,1613084820
Pontianak,ID,-0.0333,109.3333,75.2,94,20,2.84,1613084820
Kamphaeng Phet,TH,16.25,99.5,68.5,45,99,1.9,1613084820
Marsá Maţrūḩ,EG,31.3525,27.2453,53.6,62,0,8.05,1613084821
Kāzerūn,IR,29.6195,51.6541,54.5,41,0,1.28,1613084821
Chīpurupalle,IN,18.3,83.5667,64.06,88,57,2.73,1613084821
Berdigestyakh,RU,62.0989,126.6992,-7.01,91,100,2.08,1613084821
Bose,IT,45.4612,8.0137,43.0,65,31,1.99,1613084822
Pomabamba,PE,-8.8333,-77.4667,57.94,62,96,5.86,1613084822
Avera,US,33.194,-82.5271,68.0,88,75,3.44,1613084539
Glendive,US,47.1053,-104.7125,-9.99,53,90,17.27,1613084822
Manoel Urbano,BR,-8.8389,-69.2597,73.92,97,100,2.89,1613084822
Portland,US,45.5234,-122.6762,34.0,78,100,3.0,1613084475
Nicoya,CR,10.1483,-85.452,89.6,43,0,14.97,1613084394
Acapulco de Juárez,MX,16.8634,-99.8901,82.4,65,1,9.22,1613084779
Spearfish,US,44.4908,-103.8594,-8.0,70,1,11.5,1613084652
Pevek,RU,69.7008,170.3133,-22.54,86,38,1.12,1613084435
Puerto Carreño,CO,6.189,-67.4859,88.63,41,83,11.68,1613084823
Porto Empedocle,IT,37.2934,13.5264,48.99,89,74,10.69,1613084823
Along,IN,28.1667,94.7667,50.9,57,0,1.74,1613084388
Keflavik,IS,64.0049,-22.5624,37.4,81,75,17.27,1613084824
Khāsh,IR,28.2211,61.2158,47.07,44,68,0.85,1613084824
Benguela,AO,-12.5763,13.4055,74.34,82,99,5.03,1613084824
Kundiawa,PG,-6.0167,144.9667,65.1,77,100,0.69,1613084824
Vila Franca do Campo,PT,37.7167,-25.4333,61.0,88,40,21.85,1613084508
Manama,BH,26.2154,50.5832,66.2,77,0,9.22,1613084824
Bilma,NE,18.6853,12.9164,70.11,19,0,7.0,1613084505
Palmas,BR,-10.2128,-48.3603,80.6,83,40,6.91,1613084825
Tete,MZ,-16.1564,33.5867,84.2,74,40,3.44,1613084825
San Andrés,CO,12.5847,-81.7006,84.2,65,20,11.5,1613084825
Cortez,US,37.3489,-108.5859,51.8,30,1,12.66,1613084825
Santo Antônio do Içá,BR,-3.1022,-67.9397,81.64,70,66,2.73,1613084825
Orotukan,RU,62.2667,151.7,-5.76,88,14,0.89,1613084825
Iquitos,PE,-3.7481,-73.2472,77.0,83,75,14.97,1613084825
Villa María,AR,-32.4075,-63.2402,73.0,81,45,1.01,1613084826
Mossamedes,AO,-15.1961,12.1522,73.87,76,42,1.03,1613084430
Van,TR,38.4924,43.3831,32.0,93,75,3.44,1613084826
La Rioja,ES,42.25,-2.5,46.4,93,0,3.44,1613084826
Tautira,PF,-17.7333,-149.15,86.0,54,75,4.61,1613084454
Troitskoye,RU,52.9821,84.6757,-20.6,83,1,3.87,1613084826
Micheweni,TZ,-4.9667,39.8333,80.74,77,100,11.61,1613084826
Lázaro Cárdenas,MX,17.9583,-102.2,78.93,68,7,10.85,1613084663
Salalah,OM,17.0151,54.0924,71.6,53,0,3.44,1613084482
Zhuhai,CN,22.2769,113.5678,59.0,77,20,10.36,1613084678
Great Yarmouth,GB,52.6083,1.7305,33.01,93,19,5.75,1613084827
Neuquén,AR,-38.9516,-68.0591,86.0,45,0,5.75,1613084827
Ishurdi,BD,24.1333,89.0833,61.07,50,60,5.01,1613084828
Ko Samui,TH,9.5357,99.9357,80.22,78,67,8.08,1613084828
Sitka,US,57.0531,-135.33,30.2,34,1,8.05,1613084429
Bad Fallingbostel,DE,52.8667,9.7,18.0,92,40,1.14,1613084828
Santa Barbara,US,34.7333,-120.0343,63.0,67,1,9.22,1613084828
Río Tercero,AR,-32.173,-64.1141,68.0,96,63,4.16,1613084828
Majene,ID,-3.5403,118.9707,78.78,84,91,3.18,1613084828
Pyatovskiy,RU,54.6891,36.0563,8.6,85,100,6.71,1613084829
Ambulu,ID,-8.345,113.6058,75.99,88,100,2.55,1613084829
Kafue,ZM,-15.7691,28.1814,68.0,100,0,3.44,1613084829
Ocampo,MX,21.65,-101.5,66.49,22,0,16.4,1613084829
Alofi,NU,-19.0595,-169.9187,86.0,70,75,12.66,1613084392
Bristol,US,41.8334,-71.1662,28.0,56,100,1.99,1613084735
Egvekinot,RU,66.3167,-179.1667,-20.92,84,0,8.86,1613084543
Havøysund,NO,70.9963,24.6622,26.6,74,20,4.61,1613084549
Bariloche,AR,-41.1456,-71.3082,73.4,33,40,20.71,1613084830
Mwene-Ditu,CD,-7.0,23.45,68.54,94,100,2.51,1613084830
Brixen,IT,46.715,11.656,33.8,37,0,4.61,1613084830
Znamenskoye,RU,57.1281,73.8282,-26.16,86,17,4.25,1613084830
Lingdong,CN,46.5669,131.1453,18.72,94,100,4.52,1613084830
Oudtshoorn,ZA,-33.5907,22.2014,71.6,100,75,6.91,1613084831
Gushikawa,JP,26.3544,127.8686,66.2,82,75,26.46,1613084831
Tigil',RU,57.8,158.6667,5.4,89,2,3.56,1613084831
Cruzeiro do Sul,BR,-29.5128,-51.9853,72.0,94,100,1.01,1613084831
Rocha,UY,-34.4833,-54.3333,68.56,91,100,10.51,1613084831
Serenje,ZM,-13.2325,30.2352,63.97,97,100,4.9,1613084832
Antalaha,MG,-14.9003,50.2788,75.56,88,99,4.21,1613084832
Pokhara,NP,28.2333,83.9833,54.95,49,65,2.84,1613084535
Khor,RU,47.8861,134.9464,11.37,93,100,8.9,1613084475
Staritsa,RU,56.5075,34.9354,0.91,92,100,7.47,1613084543
Samarai,PG,-10.6167,150.6667,83.82,68,56,4.88,1613084832
Soe,ID,-9.8607,124.284,70.29,90,52,2.44,1613084832
Seoul,KR,37.5683,126.9778,30.2,93,75,3.44,1613084404
Brighton,GB,50.8284,-0.1395,33.01,82,74,5.99,1613084833
Alta Floresta,BR,-9.8756,-56.0861,74.39,94,100,2.35,1613084541
Yenotayevka,RU,47.2456,47.0281,40.75,95,85,3.83,1613084833
Fairbanks,US,64.8378,-147.7164,17.01,73,75,1.81,1613084833
Arrondissement de Dieppe,FR,49.75,1.1667,30.0,69,99,1.01,1613084833
Lüderitz,NA,-26.6481,15.1594,66.65,82,28,3.74,1613084522
Severo-Yeniseyskiy,RU,60.3725,93.0408,-18.24,88,100,8.32,1613084834
Kloulklubed,PW,7.0419,134.2556,82.4,83,75,6.91,1613084530
Taitung City,TW,22.7583,121.1444,64.4,94,75,5.75,1613084834
Viedma,AR,-40.8135,-62.9967,77.0,55,0,1.01,1613084448
Arrondissement de Marseille,FR,43.3333,5.5,42.01,60,0,5.75,1613084834
Nome,US,64.5011,-165.4064,10.4,72,90,20.71,1613084496
Plátanos,GR,37.6667,21.6167,55.4,76,12,4.61,1613084834
Handan,CN,36.6006,114.4678,45.52,57,0,3.83,1613084834
Lavrentiya,RU,65.5833,-171.0,-21.6,81,0,12.5,1613084464
Manadhoo,MV,5.7667,73.3833,79.75,67,10,8.55,1613084835
Zambezi,ZM,-13.5432,23.1047,65.07,96,97,2.8,1613084835
La Asuncion,VE,11.0333,-63.8628,76.06,82,82,17.45,1613084695
Zhezkazgan,KZ,47.8043,67.7144,6.98,89,100,5.95,1613084835
Flinders,AU,-34.5833,150.8552,71.01,78,0,9.84,1613084835
Thinadhoo,MV,0.5333,72.9333,80.91,77,31,15.17,1613084836
São Domingos,BR,-13.3983,-46.3183,72.61,85,97,5.48,1613084836
Wencheng,CN,33.0559,113.7978,48.22,66,0,3.42,1613084836
Kasempa,ZM,-13.4584,25.8338,64.17,92,100,3.74,1613084836
Kenai,US,60.5544,-151.2583,30.99,74,75,21.85,1613084522
Auki,SB,-8.7676,160.7034,81.48,83,100,9.75,1613084836
Mayo,US,38.8876,-76.5119,34.0,80,90,6.91,1613084396
Yar-Sale,RU,66.8333,70.8333,-18.94,87,90,8.39,1613084390
Tinskoy,RU,56.1525,96.9161,-13.27,86,89,6.98,1613084837
Tucumcari,US,35.1717,-103.725,53.6,35,1,8.05,1613084837
Ouadda,CF,8.0777,22.4007,69.91,23,13,4.56,1613084473
Conceição do Araguaia,BR,-8.2578,-49.2647,78.49,78,75,2.19,1613084837
Tura,IN,25.5198,90.2201,59.52,49,0,2.26,1613084479
Yeppoon,AU,-23.1333,150.7333,78.8,61,75,4.61,1613084837
Hargeisa,SO,9.56,44.065,59.34,62,61,8.75,1613084837
Mineros,BO,-17.1167,-63.2333,69.8,88,90,8.05,1613084838
Lompoc,US,34.6391,-120.4579,60.8,63,1,16.11,1613084395
Japura,ID,-0.3167,102.35,73.0,97,47,1.92,1613084472
Beringovskiy,RU,63.05,179.3167,-22.41,84,59,18.39,1613084455
Nador,MA,35.174,-2.9287,60.8,67,0,5.75,1613084838
Ixtapa,MX,20.7,-105.2,73.4,68,75,12.66,1613084838
Trairi,BR,-3.2778,-39.2689,80.22,81,85,10.65,1613084838
Olavarría,AR,-36.8927,-60.3225,70.0,84,90,8.01,1613084839
Harper,LR,4.375,-7.7169,79.14,88,95,6.15,1613084839
Chumikan,RU,54.7183,135.315,9.64,95,100,9.4,1613084839
Posadas,AR,-27.3671,-55.8961,80.6,57,0,3.44,1613084839
Hobyo,SO,5.3505,48.5268,77.14,74,100,18.75,1613084501
Prabumulih,ID,-3.45,104.25,73.38,99,100,2.98,1613084839
Bilibino,RU,68.0546,166.4372,-18.9,73,0,4.63,1613084840
Altay,CN,47.8667,88.1167,9.55,90,100,0.76,1613084840
Horizontina,BR,-27.6258,-54.3078,73.99,82,38,4.72,1613084840
Kashan,IR,33.9831,51.4364,52.14,41,0,0.69,1613084840
Naze,JP,28.3667,129.4833,60.8,88,75,26.46,1613084545
Biltine,TD,14.5333,20.9167,69.62,26,0,7.14,1613084520
Port-Cartier,CA,50.0334,-66.8654,17.01,92,90,2.3,1613084840
Gaoual,GN,11.75,-13.2,79.07,26,61,5.06,1613084840
Kailua,US,21.4022,-157.7394,80.6,53,40,6.91,1613084840
Tanout,NE,14.9709,8.8879,69.35,20,0,10.07,1613084841
Nelson Bay,AU,-32.7167,152.15,73.99,73,0,6.91,1613084434
Hørve,DK,55.7529,11.453,19.0,76,30,5.99,1613084841
Waddān,LY,29.1614,16.139,56.25,71,0,6.22,1613084841
Valparaíso,CL,-33.0393,-71.6273,66.2,82,90,2.3,1613084841
Brae,GB,60.3964,-1.353,34.36,88,88,22.88,1613084842
Volksrust,ZA,-27.3654,29.8818,54.95,96,14,2.51,1613084842
Oleśnica,PL,51.2134,17.3899,16.0,79,75,8.05,1613084842
Hurghada,EG,27.2574,33.8129,60.8,41,0,2.3,1613084842
Nowy Dwór Mazowiecki,PL,52.4302,20.7165,10.0,78,75,9.22,1613084842
Roald,NO,62.5833,6.1333,24.8,50,0,12.66,1613084842
Santa Luzia,BR,-19.7697,-43.8514,73.4,83,75,6.91,1613084842
Kirkland Lake,CA,48.1446,-80.0377,-2.2,46,88,4.97,1613084842
Nizwá,OM,22.9333,57.5333,58.33,48,2,1.66,1613084843
Pittsburg,US,38.028,-121.8847,59.0,58,90,11.5,1613084834
Buckeye,US,33.3703,-112.5838,77.0,21,1,3.24,1613084772
San Jerónimo,PE,-11.9472,-75.2829,56.86,64,42,6.04,1613084843
Marquette,US,46.5333,-87.6335,10.0,52,96,4.0,1613084397
Bač,RS,45.3919,19.2367,27.0,68,0,11.5,1613084843
Simao,CN,22.7886,100.9748,47.89,93,0,1.77,1613084843
Peringat,MY,6.0333,102.2833,78.8,83,20,3.44,1613084649
Ngorongoro,TZ,-3.2397,35.4875,53.49,97,100,3.06,1613084844
Olinda,BR,-8.0089,-34.8553,80.6,65,40,11.5,1613084844
Limpapa,PH,7.1197,121.9106,75.2,94,40,1.14,1613084844
Husavik,IS,66.0449,-17.3389,21.2,86,0,5.75,1613084844
Kingsville,US,27.5159,-97.8561,41.0,93,90,14.97,1613084844
Katima Mulilo,NA,-17.5,24.2667,66.63,96,100,5.66,1613084844
Birao,CF,10.2849,22.7882,72.1,20,65,4.54,1613084509
Ostrovnoy,RU,68.0531,39.5131,10.38,93,100,6.49,1613084400
Walvis Bay,NA,-22.9575,14.5053,70.0,83,34,5.75,1613084516
Shingū,JP,33.7333,135.9833,50.0,53,0,9.22,1613084388
Nizhniy Kuranakh,RU,58.8353,125.4869,-2.27,91,100,3.04,1613084845
Muzhi,RU,65.3667,64.6667,-23.42,83,60,1.07,1613084845
Arrondissement de Langres,FR,47.8333,5.3333,23.0,74,0,8.05,1613084845
Palmer,US,42.1584,-72.3287,26.01,50,75,8.05,1613084538
Ust-Nera,RU,64.5667,143.2,3.42,82,100,0.65,1613084846
Port Montt,CL,-41.4698,-72.9447,62.6,82,75,12.66,1613084846
Gali,GE,42.6265,41.7381,54.19,43,60,6.93,1613084846
Tshikapa,CD,-6.4167,20.8,72.57,87,100,1.95,1613084846
Khem Karan,IN,31.1428,74.5667,51.8,100,90,1.52,1613084846
Zhigansk,RU,66.7697,123.3711,-14.46,90,81,1.66,1613084547
Levice,SK,48.2156,18.6071,19.0,67,0,17.0,1613084846
Sterling,US,39.0062,-77.4286,32.0,80,90,9.22,1613084470
Derzhavīnsk,KZ,51.1,66.3167,6.78,95,90,4.43,1613084847
Grand Gaube,MU,-20.0064,57.6608,78.01,74,98,5.01,1613084847
Ciudad Gustavo Díaz Ordaz,MX,26.2333,-98.5833,53.01,93,90,14.97,1613084847
Richards Bay,ZA,-28.783,32.0377,74.43,92,30,2.39,1613084496
Saint-Honoré,CA,48.5334,-71.0824,5.0,85,100,17.27,1613084847
Namuac,PH,18.6109,121.1657,71.67,80,86,9.15,1613084847
Nové Město na Moravě,CZ,49.5614,16.0742,14.0,65,11,3.0,1613084848
High Rock,BS,26.6208,-78.2833,77.0,78,75,8.05,1613084848
Curvelo,BR,-18.7564,-44.4308,73.2,81,68,5.08,1613084848
Riyadh,SA,24.6877,46.7219,59.0,41,0,5.75,1613084227
Casas Grandes,MX,30.3667,-107.95,64.99,14,0,8.01,1613084848
Puro,PH,12.4841,123.3827,78.71,79,3,1.25,1613084848
Chengde,CN,40.9725,117.9361,30.97,90,0,4.18,1613084848
Ohangaron,UZ,40.9064,69.6383,46.4,71,0,4.61,1613084848
Chennai,IN,13.0878,80.2785,68.0,83,40,0.69,1613084697
Vygonichi,RU,53.0985,34.0673,10.62,96,100,14.72,1613084849
Soyo,AO,-6.1349,12.3689,79.75,81,100,6.98,1613084849
Miranda,CO,3.2499,-76.2281,80.6,57,40,13.8,1613084849
San Luis,AR,-33.295,-66.3356,75.18,46,30,5.59,1613084409
China,MX,25.7,-99.2333,54.07,77,98,25.1,1613084849
Abu Kamal,SY,34.4506,40.9171,56.17,57,0,3.15,1613084467
Rio Grande,BR,-32.035,-52.0986,75.99,85,100,3.0,1613084345
Shaunavon,CA,49.6501,-108.4181,-22.0,69,100,25.32,1613084850
Paita,PE,-5.0892,-81.1144,76.26,77,74,12.95,1613084850
Usoke,TZ,-5.1667,32.35,63.5,95,78,2.33,1613084850
Leh,IN,34.1667,77.5833,6.87,68,0,1.9,1613084476
Kuching,MY,1.55,110.3333,75.2,94,40,2.39,1613084703
Laguna,US,38.421,-121.4238,59.0,67,90,6.91,1613084462
Matara,LK,5.9485,80.5353,71.96,89,89,2.04,1613084850
São Cristóvão,BR,-11.0147,-37.2064,80.6,69,20,11.5,1613084851
Tocopilla,CL,-22.092,-70.1979,71.4,62,0,4.59,1613084851
Ranau,MY,5.9538,116.6641,75.2,94,20,4.61,1613084851
Krasnyy Kut,RU,50.95,46.9667,28.54,99,98,2.84,1613084851
Libreville,GA,0.3925,9.4537,84.2,84,20,5.75,1613084851
Ambilobe,MG,-13.2,49.05,73.54,94,98,1.34,1613084851
